Animal ID,Length(cm),Developmental Stage,Sex,Vertebra,Region,Orientation,Spinous Process Length (mm),Right Transverse Process Length (mm),Left Transverse Process Length (mm),Average Transverse Process Length (mm),Sample #,Yield Strain,Yield Strength,Stiffness,Toughness
MEC16019,250,subadult,F,Ca2,Ca1,RC,34.41,105.81,112.53,109.17,4,0.08925,22.98718,410.1584,1.025802908
MEC16019,250,subadult,F,Ca2,Ca1,RC,34.41,105.81,112.53,109.17,5,0.16491,21.4026,264.1373,1.764751383
MEC16019,250,subadult,F,Ca6,Ca2,RC,19.02,93.78,90.63,92.205,1,,,495.43709,
MEC16019,250,subadult,F,Ca6,Ca2,RC,19.02,93.78,90.63,92.205,2,0.12357,25.2448,412.081,1.559749968
MEC16019,250,subadult,F,Ca6,Ca2,RC,19.02,93.78,90.63,92.205,3,,,384.47788,
MEC16019,250,subadult,F,Ca6,Ca2,RC,19.02,93.78,90.63,92.205,4,,,466.5834,
MEC16019,250,subadult,F,Ca6,Ca2,RC,19.02,93.78,90.63,92.205,5,0.11744,27.4713,447.8948,1.613114736
MNW16018,245,subadult,M,T8,T,RC,60.78,33.07,34.25,33.66,1,0.06799,12.92776,360.57157,0.439479201
MNW16018,245,subadult,M,T8,T,RC,60.78,33.07,34.25,33.66,2,0.12886,6.6871,87.4689,0.430849853
MNW16018,245,subadult,M,T8,T,RC,60.78,33.07,34.25,33.66,3,0.14376,16.396,169.24593,1.17854448
MNW16018,245,subadult,M,T8,T,RC,60.78,33.07,34.25,33.66,4,0.10762,19.10406,336.11049,1.027989469
MNW16018,245,subadult,M,T8,T,RC,60.78,33.07,34.25,33.66,5,0.08713,15.73719,316.14678,0.685590682
MNW16018,245,subadult,M,L1,L,RC,54.1,,,,1,0.05013,7.00892,222.25749,0.17567858
MNW16018,245,subadult,M,L1,L,RC,54.1,,,,2,0.10796,3.14558,53.49374,0.169798408
MNW16018,245,subadult,M,L1,L,RC,54.1,,,,3,0.08317,14.06745,305.86516,0.584994908
MNW16018,245,subadult,M,L1,L,RC,54.1,,,,4,0.08369,9.36173,191.68839,0.391741592
MNW16018,245,subadult,M,L1,L,RC,54.1,,,,5,0.05977,10.73476,324.92154,0.320808303
MNW16018,245,subadult,M,Ca2,Ca1,RC,38.46,88.04,91.84,89.94,1,0.08238,16.12227,338.84551,0.664076301
MNW16018,245,subadult,M,Ca2,Ca1,RC,38.46,88.04,91.84,89.94,2,0.08442,9.52958,191.20908,0.402243572
MNW16018,245,subadult,M,Ca2,Ca1,RC,38.46,88.04,91.84,89.94,3,0.0887,17.47108,413.3911,0.774842398
MNW16018,245,subadult,M,Ca2,Ca1,RC,38.46,88.04,91.84,89.94,4,0.09527,17.23713,328.78903,0.821090688
MNW16018,245,subadult,M,Ca2,Ca1,RC,38.46,88.04,91.84,89.94,5,0.10942,19.13825,382.11352,1.047053658
MNW16018,245,subadult,M,Ca6,Ca2,RC,17.32,70.97,31.11D,70.97,1,0.15427,16.73312,228.43977,1.290709211
MNW16018,245,subadult,M,Ca6,Ca2,RC,17.32,70.97,31.11D,70.97,2,0.11402,8.34965,106.63313,0.476013547
MNW16018,245,subadult,M,Ca6,Ca2,RC,17.32,70.97,31.11D,70.97,3,0.09597,22.09932,358.04091,1.06043587
